index,location,price,floor,area,is_furnished,rooms
681098403,Алматы,280000,4,55.0,полностью,2
688558724,Сарыарка,165000,10,60.0,полностью,2
687779417,Есильский,200000,12,40.0,полностью,1
681851810,Алматы,300000,9,55.0,полностью,2
688418774,Сарыарка,180000,8,40.0,полностью,1
688564357,Есильский,250000,6,56.0,полностью,2
687087266,Есильский,200000,6,45.0,полностью,1
688054291,Есильский,250000,3,78.0,полностью,2
687242191,Алматы,500000,16,140.0,полностью,4
688606967,Сарыарка,180000,5,44.0,полностью,2
688537756,Есильский,210000,8,51.0,полностью,2
688562434,Есильский,170000,2,40.0,полностью,1
688498314,Есильский,450000,4,140.0,полностью,4
684860676,Есильский,350000,5,88.0,полностью,3
688522492,Есильский,600000,5,101.0,полностью,3
688523308,Есильский,300000,5,70.0,полностью,3
688553137,Есильский,140000,9,40.0,полностью,2
55090138,Есильский,450000,2,90.0,полностью,3
688574165,Есильский,185000,14,46.0,полностью,1
688125803,Есильский,200000,8,63.0,полностью,2
688177895,Есильский,700000,7,160.0,полностью,4
682455844,Алматы,800000,9,160.0,полностью,4
677195648,Есильский,250000,21,50.0,полностью,2
688550890,Сарыарка,130000,5,40.0,полностью,1
688522604,Есильский,350000,10,65.0,полностью,2
688497700,Есильский,360000,5,61.0,полностью,2
688471403,Есильский,350000,5,118.0,полностью,3
688581763,Сарыарка,200000,9,33.0,полностью,1
688606377,Алматы,250000,9,65.0,полностью,3
688606319,Есильский,250000,8,60.0,полностью,2
687787931,Байконур,220000,5,44.0,полностью,1
684056014,Есильский,150000,2,40.0,полностью,1
688299641,Есильский,300000,7,40.0,полностью,1
687715263,Есильский,300000,4,52.0,полностью,1
685417329,Алматы,550000,3,113.5,полностью,2
687886120,Есильский,220000,8,66.5,полностью,2
674240786,Есильский,250000,2,50.0,полностью,2
688534011,Есильский,230000,4,60.0,полностью,2
678243032,Есильский,350000,5,87.0,полностью,3
688605821,Алматы,250000,3,90.0,частично,2
15178639,Есильский,198000,8,60.0,полностью,2
661068897,Есильский,200000,5,40.0,полностью,1
688573375,Есильский,160000,8,40.0,полностью,1
687453422,Есильский,550000,5,100.0,полностью,3
688386544,Есильский,400000,5,70.0,полностью,2
688597757,Байконур,160000,7,48.0,полностью,1
683052132,Есильский,170000,2,40.0,полностью,1
681432681,Есильский,200000,3,50.0,полностью,2
676597764,Есильский,160000,3,38.0,полностью,1
687980632,Есильский,200000,5,50.0,полностью,2
688519658,Есильский,250000,7,65.0,полностью,2
688571508,Есильский,180000,2,38.0,полностью,1
687854225,Есильский,180000,9,60.0,полностью,1
688503986,Нура,250000,14,50.0,полностью,2
688447943,Алматы,800000,3,140.0,полностью,4
688505609,Байконур,140000,17,52.0,полностью,1
688600012,Нура,180000,15,69.0,полностью,2
688448785,Алматы,190000,12,60.0,полностью,2
688410174,Есильский,400000,4,100.0,полностью,3
679779485,Байконур,300000,5,43.0,полностью,1
687707469,Есильский,850000,8,220.0,полностью,5
688427188,Алматы,220000,1,75.0,полностью,1
688050484,Есильский,1000000,9,110.0,полностью,3
688573569,Астана,180000,13,45.0,полностью,1
688448521,Есильский,180000,8,45.0,полностью,1
668456356,Есильский,200000,3,80.0,полностью,2
688601367,Есильский,400000,8,60.0,полностью,2
29597961,Алматы,140000,8,38.0,полностью,1
688592678,Алматы,150000,10,45.0,полностью,2
683667022,Есильский,145000,1,30.0,полностью,1
688600913,Сарыарка,220000,12,70.0,полностью,2
687248944,Байконур,160000,15,37.0,полностью,1
688426002,Есильский,380000,18,100.0,полностью,3
688430404,Есильский,1000000,5,180.0,полностью,4
686064209,Есильский,250000,7,60.0,полностью,2
688266358,Есильский,280000,7,96.0,полностью,3
688553109,Сарыарка,160000,8,40.0,полностью,1
688595024,Нура,160000,7,39.0,полностью,1
678073516,Есильский,220000,7,45.0,полностью,1
688145433,Сарыарка,300000,5,72.0,полностью,3
673414938,Есильский,300000,7,90.0,полностью,3
688588273,Есильский,200000,22,70.0,полностью,2
688429162,Алматы,160000,3,40.0,полностью,1
688599092,Алматы,160000,12,45.0,полностью,1
685124050,Есильский,380000,8,80.0,полностью,2
688599661,Есильский,250000,20,40.0,полностью,1
678506500,Алматы,150000,2,45.0,полностью,2
685898069,Есильский,300000,6,59.0,полностью,2
684776951,Алматы,150000,14,33.0,полностью,1
688588785,Сарыарка,125000,7,36.0,полностью,1
683928662,Есильский,160000,6,45.0,полностью,1
